CMDLINE /home/halfak/venv/3.5/bin/python3 demo_global_memory.py
MEM 4907.242188 1520965596.9423
MEM 4907.242188 1520965597.0658
MEM 4907.242188 1520965597.1896
MEM 4907.242188 1520965597.3132
MEM 4907.242188 1520965597.4408
MEM 4907.242188 1520965597.5643
MEM 4907.242188 1520965597.6908
MEM 4907.242188 1520965597.8162
MEM 4907.242188 1520965597.9357
MEM 4907.242188 1520965598.0552
MEM 4907.242188 1520965598.1747
MEM 4907.242188 1520965598.2979
MEM 4907.242188 1520965598.4215
MEM 4907.242188 1520965598.5451
MEM 4907.242188 1520965598.6687
MEM 4907.242188 1520965598.7923
MEM 4907.242188 1520965598.9119
MEM 4907.242188 1520965599.0354
MEM 4907.242188 1520965599.1549
MEM 4907.242188 1520965599.2704
MEM 4907.242188 1520965599.3940
MEM 4907.242188 1520965599.5204
MEM 4907.242188 1520965599.6400
MEM 4907.242188 1520965599.7627
MEM 4907.242188 1520965599.8782
MEM 4907.242188 1520965600.0020
MEM 4907.242188 1520965600.1166
MEM 4907.242188 1520965600.2402
MEM 4907.242188 1520965600.3645
MEM 4907.242188 1520965600.4841
MEM 4907.242188 1520965600.6038
MEM 4907.242188 1520965600.7284
MEM 4907.242188 1520965600.8549
MEM 4907.242188 1520965600.9782
MEM 4907.242188 1520965601.0993
MEM 4907.242188 1520965601.2192
MEM 4907.242188 1520965601.3488
MEM 4907.242188 1520965601.4699
MEM 4907.242188 1520965601.5949
MEM 4907.242188 1520965601.7189
MEM 4907.242188 1520965601.8506
MEM 4907.242188 1520965601.9668
MEM 4907.242188 1520965602.0922
MEM 4907.242188 1520965602.2144
MEM 4907.242188 1520965602.3417
MEM 4907.242188 1520965602.4632
MEM 4907.242188 1520965602.5889
MEM 4907.242188 1520965602.7110
MEM 4907.242188 1520965602.8338
MEM 4907.242188 1520965602.9564
MEM 4907.242188 1520965603.0807
MEM 4907.242188 1520965603.2023
MEM 4907.242188 1520965603.3226
MEM 985.093750 1520965603.4377
MEM 985.093750 1520965603.5527
MEM 985.093750 1520965603.6675
MEM 985.093750 1520965603.7821
MEM 985.093750 1520965603.8968
MEM 985.093750 1520965604.0113
MEM 985.093750 1520965604.1259
MEM 985.093750 1520965604.2406
MEM 985.093750 1520965604.3554
MEM 985.093750 1520965604.4702
MEM 984.843750 1520965604.5849
MEM 865.593750 1520965604.6995
